gender,career,years_of_experience,salary
male,consulting,0,47000
male,consulting,0,48000
male,consulting,0,48500
male,consulting,0,50000
male,consulting,0,75000
male,consulting,0,66000
male,consulting,0,72000
male,consulting,0,57000
male,consulting,0,60289
male,consulting,0,63250
male,consulting,0,66242
male,consulting,0,56178
male,consulting,0,62028
male,consulting,0,60518
male,consulting,0,59253
male,consulting,0,60564
male,consulting,0,47161
male,consulting,0,59067
male,consulting,0,69074
male,consulting,0,68722
male,consulting,0,73355
male,consulting,0,64604
male,consulting,0,49623
male,consulting,0,70736
male,consulting,0,51549
male,consulting,0,61916
male,consulting,0,57686
male,consulting,0,64250
male,consulting,0,64727
male,consulting,0,56000
male,consulting,1,84000
male,consulting,1,76000
male,consulting,1,74000
male,consulting,1,70000
male,consulting,1,67000
male,consulting,1,64000
male,consulting,1,63000
male,consulting,1,57000
male,consulting,1,56000
male,consulting,1,55000
male,consulting,1,56934
male,consulting,1,59856
male,consulting,1,71042
male,consulting,1,62405
male,consulting,1,81609
male,consulting,1,56173
male,consulting,1,61095
male,consulting,1,59433
male,consulting,1,69708
male,consulting,1,68879
male,consulting,1,70565
male,consulting,1,56295
male,consulting,1,64955
male,consulting,1,58774
male,consulting,1,64016
male,consulting,1,72229
male,consulting,1,82324
male,consulting,1,66586
male,consulting,1,67156
male,consulting,1,72674
male,consulting,2,90000
male,consulting,2,85000
male,consulting,2,86000
male,consulting,2,84000
male,consulting,2,82000
male,consulting,2,82000
male,consulting,2,78000
male,consulting,2,76000
male,consulting,2,74000
male,consulting,2,73000
male,consulting,2,77448
male,consulting,2,75544
male,consulting,2,86864
male,consulting,2,57871
male,consulting,2,59043
male,consulting,2,76300
male,consulting,2,69791
male,consulting,2,69393
male,consulting,2,82383
male,consulting,2,68482
male,consulting,2,63388
male,consulting,2,58085
male,consulting,2,81055
male,consulting,2,79216
male,consulting,2,64569
male,consulting,2,81922
male,consulting,2,86107
male,consulting,2,87142
male,consulting,2,58212
male,consulting,2,63608
male,consulting,2,89143
male,consulting,3,70000
male,consulting,3,66000
male,consulting,3,52000
male,consulting,3,58000
male,consulting,3,67000
male,consulting,3,71000
male,consulting,3,76000
male,consulting,3,79000
male,consulting,3,88000
male,consulting,3,89000
male,consulting,3,71129
male,consulting,3,60630
male,consulting,3,70598
male,consulting,3,76363
male,consulting,3,59169
male,consulting,3,88499
male,consulting,3,55261
male,consulting,3,70731
male,consulting,3,83394
male,consulting,3,61026
male,consulting,3,85627
male,consulting,3,52864
male,consulting,3,67536
male,consulting,3,58364
male,consulting,3,74483
male,consulting,3,66085
male,consulting,3,71650
male,consulting,3,75166
male,consulting,3,53998
male,consulting,3,82873
male,consulting,3,59287
male,consulting,4,87000
male,consulting,4,59000
male,consulting,4,70000
male,consulting,4,77000
